model,tag,label_frac,n_seeds,n_valid_temperature,ece_before_mean,ece_before_std,ece_after_mean,ece_after_std,brier_before_mean,brier_before_std,brier_after_mean,brier_after_std,temperature_mean
dinov2_vits14,label_05,0.05,3,3,0.2832520294849845,0.24132818142585571,0.1489048772060324,0.07972717990205842,0.2943922981993371,0.20048922717538503,0.2010251038214109,0.0675867792562945,3.6569722493489585
dinov2_vits14,label_10,0.1,3,3,0.0831979318380278,0.040732285615082665,0.11535214343655371,0.056562715394284056,0.1354498683409461,0.023028865765818727,0.14601420066565,0.027661251819783666,1.6215723355611165
dinov2_vits14,label_25,0.25,3,3,0.07458685969342088,0.0378168470983633,0.07497902199440126,0.017622051152971073,0.14740435970595586,0.030092855550151378,0.14759461396145068,0.028307372350170397,0.8061767816543579
dinov2_vits14,label_50,0.5,3,3,0.08380381177950767,0.03367662004754917,0.08768104684218796,0.04794719580333977,0.14327939419729863,0.006050814769113547,0.14423851709260768,0.003402247054492223,1.0795517762502034
dinov2_vits14,label_100,1.0,3,3,0.08712175037158887,0.026402348306184466,0.0846585558364692,0.0262779069999783,0.1661006338931957,0.010273399002514564,0.16573685506447455,0.01040513447730163,0.9661185542742411
dinov2_vits14,image_level,,1,0,,,,,,,,,
endo_fm,label_05,0.05,3,3,0.16859235828240346,0.09470790819567242,0.10405180712467277,0.008576324517702717,0.19968484493363858,0.08621432681412486,0.1737211662114081,0.0522874314477696,2.8283824920654297
endo_fm,label_10,0.1,3,3,0.16874103582441116,0.06824243303952737,0.14265914132201066,0.049753206763940135,0.18482976014317373,0.07502477092237944,0.17771347244996363,0.034473920069077325,2.1413920720418296
endo_fm,label_25,0.25,3,3,0.10151352329203896,0.04178142850732505,0.06258397649629761,0.019294080010481832,0.16913050296680743,0.0365365505169715,0.1594194827287462,0.025474828167811065,1.5830835501352947
endo_fm,label_50,0.5,3,3,0.13340114628571428,0.005767618824468501,0.11970965863606753,0.044076651461908006,0.15475336222037825,0.03623211813786235,0.14829473104689903,0.02416356601843574,1.594265381495158
endo_fm,label_100,1.0,3,3,0.14979698169343011,0.006163039621204635,0.06568714749254545,0.006981779253555158,0.21007229853609485,0.0015599400755837115,0.18418247232651544,0.0014727720428432684,2.0905913511912027
endo_fm,image_level,,1,0,,,,,,,,,
resnet50,label_05,0.05,3,3,0.15401188040897976,0.05728664002833508,0.11866763549309112,0.039807719328728924,0.21986285423348462,0.04764163329430778,0.2041547752264257,0.042681922783723285,1.8374567826588948
resnet50,label_10,0.1,3,2,0.19984642353566717,0.04744120087951271,0.150837149658727,0.01146239808667608,0.22131289983220648,0.05229828108310932,0.21823034205245256,0.034879410337187534,2.2018891870975494
resnet50,label_25,0.25,3,1,0.18005602653708289,0.04677139422191467,0.18075033106288785,,0.20299708072171688,0.04235980928335635,0.2206961434705399,,1.5170713663101196
resnet50,label_50,0.5,3,3,0.11945708887721596,0.005674675047234018,0.10893991630669853,0.015846981516783595,0.15771475051517483,0.015094620829706022,0.1480244147940536,0.006856458688338058,1.487273375193278
resnet50,label_100,1.0,3,3,0.10602218628472432,0.00925021637870652,0.07833353040228387,0.017639174457998272,0.15036452897618324,0.008793764397621123,0.14000859546724628,0.0062115338478835646,1.7369094689687092
resnet50,image_level,,1,0,,,,,,,,,
