model,label_frac,seed,n,threshold,accuracy,f1,precision,sensitivity,brier,ece,tn,fp,fn,tp,specificity,auroc,auprc,patient_n,patient_threshold,patient_accuracy,patient_f1,patient_precision,patient_sensitivity,patient_brier,patient_ece,patient_tn,patient_fp,patient_fn,patient_tp,patient_specificity,patient_auroc,patient_auprc
endo_fm,0.25,2,1600,0.5,0.808125,0.7266251113089938,0.7046632124352331,0.75,0.13062800955165385,0.07862500900868326,885,171,136,408,0.8380681818181818,0.8922351966354723,0.7763595426894236,32,0.5,0.78125,0.6666666666666666,0.5833333333333334,0.7777777777777778,0.12399105949198903,0.17535450955333431,18,5,2,7,0.782608695652174,0.9082125603864735,0.8027676027676027
endo_fm,0.25,1,1600,0.5,0.75375,0.6167315175097277,0.6549586776859504,0.5827205882352942,0.1734456181708371,0.07617769474134548,889,167,227,317,0.8418560606060606,0.8091316427139037,0.6778475237079699,32,0.5,0.78125,0.5882352941176471,0.625,0.5555555555555556,0.15046304388687434,0.24931792727665622,20,3,4,5,0.8695652173913043,0.8164251207729468,0.7077489177489178
endo_fm,0.25,0,1600,0.5,0.708125,0.5325325325325325,0.5846153846153846,0.4889705882352941,0.20331788117793131,0.14973786612608816,867,189,278,266,0.8210227272727273,0.7728125696301248,0.5945919477609666,32,0.5,0.75,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.1775934783229592,0.19944361775576538,19,4,4,5,0.8260869565217391,0.7294685990338163,0.6394229675143653
endo_fm,1.0,0,1672,0.5,0.8642344497607656,0.8020924149956408,0.7371794871794872,0.8795411089866156,0.09396615831161215,0.07375522323817336,985,164,63,460,0.8572671888598782,0.947823113289967,0.907532647834388,199,0.5,0.9045226130653267,0.8403361344537815,0.8064516129032258,0.8771929824561403,0.07983999563034024,0.09998672217074851,130,12,7,50,0.9154929577464789,0.9602174450210033,0.9085045150878315
endo_fm,0.1,2,1600,0.5,0.668125,0.367103694874851,0.5220338983050847,0.28308823529411764,0.27046479198457546,0.23990556414169983,915,141,390,154,0.8664772727272727,0.6244864778297683,0.4698801264596688,32,0.5,0.6875,0.375,0.42857142857142855,0.3333333333333333,0.23636488152949126,0.27731181886025114,19,4,6,3,0.8260869565217391,0.6376811594202898,0.44799663299663295
endo_fm,0.1,1,1600,0.5,0.78375,0.7398496240601504,0.6259541984732825,0.9044117647058824,0.15335672495528285,0.16246298807207496,762,294,52,492,0.7215909090909091,0.895236255013369,0.8041853760520612,32,0.5,0.75,0.6363636363636364,0.5384615384615384,0.7777777777777778,0.1673963907808711,0.22141812148218215,17,6,2,7,0.7391304347826086,0.8647342995169082,0.7243386243386243
endo_fm,0.1,0,1600,0.5,0.83375,0.7808896210873146,0.7074626865671642,0.8713235294117647,0.13066776348966289,0.10385455525945872,860,196,70,474,0.8143939393939394,0.8975653826871659,0.7630892412399598,32,0.5,0.8125,0.7,0.6363636363636364,0.7777777777777778,0.14932545931866986,0.1882377781250571,19,4,2,7,0.8260869565217391,0.8405797101449275,0.7098187387661072
endo_fm,1.0,2,1600,0.5,0.689375,0.5566458519179304,0.5407279029462738,0.5735294117647058,0.21172826355934815,0.15690263442860442,791,265,232,312,0.7490530303030303,0.7691012839795011,0.6084939858366551,32,0.5,0.65625,0.5217391304347826,0.42857142857142855,0.6666666666666666,0.1807145349402723,0.23523913166362312,15,8,3,6,0.6521739130434783,0.8067632850241546,0.678173249976319
endo_fm,1.0,1,1600,0.5,0.7,0.5348837209302325,0.5655737704918032,0.5073529411764706,0.20985811397227627,0.1459045499992203,844,212,268,276,0.7992424242424242,0.7648973651960784,0.6002264803546811,32,0.5,0.65625,0.5217391304347826,0.42857142857142855,0.6666666666666666,0.16872354501699238,0.22700723004829798,15,8,3,6,0.6521739130434783,0.8067632850241545,0.6923559264138974
endo_fm,1.0,0,1600,0.5,0.6875,0.5107632093933464,0.5460251046025104,0.4797794117647059,0.20863051807666014,0.14658376065246556,839,217,283,261,0.7945075757575758,0.7628032391934046,0.6016302945567805,32,0.5,0.71875,0.5714285714285714,0.5,0.6666666666666666,0.16712752178852996,0.18784815000225613,17,6,3,6,0.7391304347826086,0.78743961352657,0.640736732403399
