model,tag,label_frac,n_seeds,image_auroc_mean,image_auroc_std,patient_auroc_mean,patient_auroc_std,image_auroc_ci_lo_mean,image_auroc_ci_hi_mean,patient_auroc_ci_lo_mean,patient_auroc_ci_hi_mean
dinov2_vits14,label_05,0.05,3,0.7854074987002377,0.09318863128052642,0.7777777777777777,0.10484316142130772,0.762252408340157,0.8078733147493383,0.5882803513917645,0.9419665117491204
dinov2_vits14,label_10,0.1,3,0.8800452827911469,0.029848063364420047,0.8711755233494364,0.05493952370123027,0.8627467005097982,0.8967561129925494,0.7213092385422549,0.9827244076374511
dinov2_vits14,label_25,0.25,3,0.8513803011734997,0.05621415658535446,0.8357487922705314,0.11421826490373801,0.8316188829600807,0.8696070242951524,0.6597383357383357,0.981296038573999
dinov2_vits14,label_50,0.5,3,0.8703632139408795,0.013799472208412007,0.8824476650563606,0.015529228278571592,0.8526010783760052,0.8876870290523967,0.7419602389633817,0.9918001818783068
dinov2_vits14,label_100,1.0,3,0.8294717626633986,0.031704475692855665,0.8276972624798713,0.02746976185061512,0.8092674414949662,0.8497739304027823,0.6377533878767433,0.9719371852664067
dinov2_vits14,image_level,,1,0.9081627219279546,,0.9361255250803063,,0.8939627607649926,0.9225007753384733,0.9051111661780211,0.9670300123537533
endo_fm,label_05,0.05,3,0.7688288561163102,0.1855143243749809,0.7423510466988729,0.1878682616348127,0.7474230290318773,0.7899853849422893,0.5434789303649874,0.908021847943723
endo_fm,label_10,0.1,3,0.8057627051767677,0.15699413734213447,0.7809983896940418,0.12470257582318417,0.7854958974310655,0.8256203055231716,0.5998428713245291,0.9312344894688644
endo_fm,label_25,0.25,3,0.8247264696598336,0.06121960413805139,0.8180354267310789,0.08938286045976121,0.8049854153416939,0.8448213466890101,0.6416453174018963,0.9641612756707865
endo_fm,label_50,0.5,3,0.8586293774138444,0.05198999595873853,0.8631239935587761,0.07489221226559409,0.8397972644299386,0.8778352346465169,0.720074794474108,0.9748751167133519
endo_fm,label_100,1.0,3,0.765600629456328,0.0032073786020249285,0.8003220611916264,0.01115652694086235,0.7436306186495635,0.788181194878291,0.6253519194925447,0.9525939345142241
endo_fm,image_level,,1,0.947823113289967,,0.9602174450210033,,0.9377764396065051,0.9588680865421468,0.9236158530060973,0.9868898745001686
resnet50,label_05,0.05,3,0.6570466846776589,0.23474321635029272,0.5942028985507247,0.2496701364139624,0.632409041493077,0.6806768921698189,0.4085225802277433,0.7736911166530732
resnet50,label_10,0.1,3,0.8008891766934046,0.1002804348856096,0.745571658615137,0.11806958312285586,0.7802377643098354,0.8203518221717765,0.5637472434972436,0.8978219696969697
resnet50,label_25,0.25,3,0.820385611631016,0.057549096672410906,0.7632850241545893,0.11624356923203827,0.8002535515048189,0.839847216756907,0.6041375834310617,0.9112980248917748
resnet50,label_50,0.5,3,0.8766136781417112,0.024374811935739406,0.8695652173913043,0.025562814599657868,0.8603666817505671,0.8928614363192474,0.7229588025490487,0.98083055579051
resnet50,label_100,1.0,3,0.8784780247326204,0.01121261460397727,0.8727858293075684,0.014758697890356989,0.8610665191422028,0.8945541034050765,0.7367176736307172,0.981128767066267
resnet50,image_level,,1,0.9991954097585896,,0.9998764516926119,,0.9986426456072751,0.9996284739103309,0.9992583030078398,1.0
