model,tag,label_frac,seed,image_auroc,patient_auroc,image_auroc_ci_lo,image_auroc_ci_hi,patient_auroc_ci_lo,patient_auroc_ci_hi,ece_before,ece_after,brier_before,brier_after,temperature,valid_temperature,has_metrics,has_metrics_eval,has_calibration
dinov2_vits14,image_level,,0,0.9081627219279546,0.9361255250803063,0.8939627607649926,0.9225007753384733,0.9051111661780211,0.9670300123537533,,,,,,False,True,True,False
dinov2_vits14,label_05,0.05,0,0.874728442513369,0.8309178743961352,0.8561726998923538,0.8932422469133262,0.6666666666666667,0.9743589743589745,0.09836505647792367,0.07751551009309579,0.14361865454840106,0.13964527078040548,1.266849398612976,True,True,True,True
dinov2_vits14,label_05,0.05,1,0.7927128592914439,0.8454106280193237,0.7694213282242891,0.8142542311382509,0.6874622584541064,0.9771428571428571,0.19513556317636588,0.13425979603772312,0.21763967248226748,0.18997343673356432,1.8023024797439575,True,True,True,True
dinov2_vits14,label_05,0.05,2,0.6887811942959001,0.6570048309178744,0.661163196903828,0.7161234661964379,0.41071212905452037,0.8743977037455298,0.556255468800664,0.2349393254872783,0.5219185675673428,0.2734566039502628,7.901764869689941,True,True,True,True
dinov2_vits14,label_10,0.1,0,0.8470748384581106,0.826086956521739,0.828069701213695,0.8667962403259412,0.651015625,0.9710144927536232,0.1238981441676151,0.15236150326737616,0.16120179608059457,0.172986948467176,1.7395379543304443,True,True,True,True
dinov2_vits14,label_10,0.1,1,0.8878345727495545,0.855072463768116,0.8700005354451356,0.9041908873194054,0.6811304347826087,0.9771587301587301,0.08326200282230271,0.1434529485680692,0.12831475124917133,0.1473432919706759,2.0055227279663086,True,True,True,True
dinov2_vits14,label_10,0.1,2,0.9052264371657754,0.9323671497584541,0.8901698648705637,0.9192812113323019,0.831781655844156,1.0,0.0424336485241656,0.0502419784742158,0.11683305769307242,0.11771236155909812,1.1196563243865967,True,True,True,True
dinov2_vits14,label_100,1.0,0,0.8584071412655971,0.7971014492753623,0.8394514588933868,0.8762895834566733,0.625,0.9514597039473683,0.11744237177772447,0.11492851688210691,0.1579644082259292,0.15654771127355763,0.9495968818664551,True,True,True,True
dinov2_vits14,label_100,1.0,1,0.7955816204322638,0.8357487922705314,0.773062655143359,0.818879820680194,0.6112769905533065,0.9791666666666666,0.07471442609064982,0.07134716792747352,0.1776449824764126,0.1770348999988227,1.0262442827224731,True,True,True,True
dinov2_vits14,label_100,1.0,2,0.8344265262923353,0.8502415458937198,0.8152882104481529,0.8541523870714794,0.6769831730769232,0.9851851851851852,0.06920845324639231,0.06769998269982717,0.16269251097724535,0.16362795392104332,0.9225144982337952,True,True,True,True
dinov2_vits14,label_25,0.25,0,0.7942186107397504,0.7053140096618358,0.7695218988463564,0.8170024701232356,0.45924963924963924,0.9479366987179486,0.11819293139036743,0.09091994490706157,0.17797336340856962,0.1744624805838157,0.6163783669471741,True,True,True,True
dinov2_vits14,label_25,0.25,1,0.8533258829099821,0.8840579710144927,0.8335642523124396,0.8709470557867717,0.7199653679653679,0.9959514170040487,0.050784622046339795,0.07796081689726007,0.1464283156553508,0.15028195965484145,0.7792920470237732,True,True,True,True
dinov2_vits14,label_25,0.25,2,0.9065964098707665,0.9178743961352657,0.8917704977214461,0.9208715469754498,0.8,1.0,0.05478302564355543,0.05605630417888213,0.11781140005394711,0.11803940164569492,1.0228599309921265,True,True,True,True
dinov2_vits14,label_50,0.5,0,0.8859232258244207,0.8647342995169082,0.8693096401968404,0.9034040966751641,0.7241334410919539,0.9926475694444444,0.12261457119166153,0.14302008371174285,0.13643195455122947,0.14031106143935246,1.277609944343567,True,True,True,True
